mode,ratio,ratio3,"""-1.0~1.0""",,"""0~360""","""0<scale"""
index,img_num,add_num,pos_x,pos_y,angle_deg,scale
1,0,2,0.1,-0.22,174,0.85
2,0,2,0.12,-0.22,198,0.89
3,0,2,0.07,-0.19,48,0.81
4,1,2,0.12,-0.04,5,0.77
5,1,2,-0.09,0.15,180,0.89
6,1,2,-0.08,-0.03,267,0.99
7,2,2,-0.07,-0.07,47,0.82
8,2,2,-0.06,0.06,97,1
9,2,2,0.01,0.23,114,0.79
10,3,2,0.21,0.01,43,0.81
11,3,2,-0.17,-0.03,290,0.8
12,3,2,0.2,0.12,30,1.08
13,4,2,-0.2,0.04,183,0.89
14,4,2,0.07,0.13,25,1.03
15,4,2,0.16,-0.09,18,0.93
16,5,2,-0.2,0.1,316,0.91
17,5,2,-0.13,0.1,55,1.08
18,5,2,0.18,0.11,92,1.01
19,6,2,-0.22,-0.02,61,0.91
20,6,2,-0.12,0.07,167,1.02
21,6,2,0.03,0.12,305,0.99
22,7,2,0.01,-0.15,305,0.84
23,7,2,0.2,-0.14,172,1.06
24,7,2,0.14,-0.09,75,0.9
25,8,2,0.24,0.08,313,0.77
26,8,2,0.05,0.05,291,1.02
27,8,2,-0.03,-0.15,337,0.98
28,9,2,-0.03,0.16,85,0.76
29,9,2,-0.02,0.06,110,1.04
30,9,2,-0.12,-0.16,230,0.76
31,10,2,0.15,-0.04,13,0.78
32,10,2,-0.14,-0.15,239,0.77
33,10,2,-0.03,0.07,306,0.95
34,11,2,0.06,0.23,146,0.99
35,11,2,-0.16,-0.17,176,0.77
36,11,2,-0.08,-0.18,263,0.84
37,12,2,-0.23,0.04,26,0.79
38,12,2,-0.07,0.24,244,1.01
39,12,2,0.12,0.1,294,1.01
40,13,2,0.13,0.13,48,0.86
41,13,2,0.02,-0.2,49,0.88
42,13,2,-0.1,0.18,88,0.81
43,14,2,0.2,-0.2,17,1.07
44,14,2,0.03,0.09,134,1
45,14,2,0,-0.18,16,1
46,15,2,-0.21,0.07,347,0.81
47,15,2,0.1,0.09,64,0.93
48,15,2,0.03,0.05,254,0.92
49,16,2,-0.03,0.09,16,1
50,16,2,0.07,0.02,9,0.93
51,16,2,0.1,-0.24,74,1.07
52,17,2,0.18,0.01,41,1
53,17,2,-0.01,-0.24,18,1.08
54,17,2,-0.16,-0.13,177,0.91
55,18,2,0.07,0.1,296,0.78
56,18,2,-0.04,0.1,293,1.1
57,18,2,-0.06,-0.14,265,0.77
58,19,2,0.1,0.16,320,0.97
59,19,2,-0.22,0.18,153,0.78
60,19,2,-0.13,0.15,183,0.76
61,20,2,-0.07,0.1,81,0.9
62,20,2,0.05,-0.07,156,0.98
63,20,2,0.13,0.22,97,0.81
64,21,2,0.23,-0.03,260,1.01
65,21,2,-0.07,0.2,42,0.86
66,21,2,0.07,0.23,163,0.78
67,22,2,0.17,0.09,256,1.08
68,22,2,0.21,0.1,101,1.09
69,22,2,0.11,-0.07,44,1.05
70,23,2,0.02,-0.23,333,0.83
71,23,2,0.18,-0.22,124,1.03
72,23,2,-0.18,0.15,236,0.87
73,24,2,0.06,0.22,267,0.95
74,24,2,0.11,0.09,70,1.06
75,24,2,0.2,-0.15,167,1.01
76,25,2,0.04,0.16,190,0.96
77,25,2,0.25,0.22,282,1.1
78,25,2,-0.01,-0.22,38,0.81
79,26,2,-0.08,0.02,235,1.07
80,26,2,-0.22,-0.04,332,0.93
81,26,2,0.21,0.25,9,0.86
82,27,2,-0.16,0.15,56,1.04
83,27,2,-0.23,0.18,308,0.84
84,27,2,0.15,-0.16,174,0.77
85,28,2,0.18,-0.08,313,1.03
86,28,2,-0.24,0.21,228,1.02
87,28,2,-0.11,-0.18,112,1
88,29,2,-0.08,0.18,60,0.89
89,29,2,0.23,0.14,252,1.09
90,29,2,0.14,0.11,194,0.96
91,30,2,0.2,0.03,132,1.09
92,30,2,-0.19,0.11,20,1
93,30,2,0.02,0.09,303,0.94
94,31,2,0.15,0.07,128,0.92
95,31,2,-0.09,-0.2,22,0.77
96,31,2,-0.17,-0.13,172,0.95
97,32,2,-0.22,0.02,33,0.97
98,32,2,-0.24,-0.1,79,0.85
99,32,2,-0.07,0.08,305,0.84
100,33,2,-0.04,-0.09,23,0.83
101,33,2,-0.24,-0.04,111,0.89
102,33,2,0.18,0.17,102,1
103,34,2,-0.24,-0.25,18,1.05
104,34,2,0.16,-0.07,297,0.89
105,34,2,0.02,0.11,29,0.94
106,35,2,0.1,0.25,245,0.87
107,35,2,0.19,0,45,0.91
108,35,2,-0.21,-0.24,251,0.86
109,36,2,-0.07,-0.06,337,0.82
110,36,2,0.19,0,123,0.9
111,36,2,0.12,-0.24,98,0.77
112,37,2,-0.23,-0.13,307,1.02
113,37,2,-0.11,0.1,240,0.82
114,37,2,-0.03,-0.22,245,1.09
115,38,2,-0.16,-0.14,15,0.98
116,38,2,-0.1,-0.17,301,1.03
117,38,2,0.18,0.2,323,0.96
118,39,2,-0.07,0.01,81,0.93
119,39,2,-0.22,-0.16,341,1.06
120,39,2,0.04,-0.24,87,0.9
121,40,2,-0.23,-0.03,297,0.8
122,40,2,-0.14,0.23,284,0.83
123,40,2,0.11,-0.19,208,1.02
124,41,2,0.08,-0.05,182,0.76
125,41,2,-0.05,-0.2,61,1.07
