mode,ratio,ratio3,"""-1.0~1.0""",,"""0~360""","""0<scale"""
index,img_num,add_num,pos_x,pos_y,angle_deg,scale
1,0,2,0.19,0.01,98,1.04
2,0,2,-0.17,-0.24,139,0.84
3,0,2,-0.06,0.08,91,1.08
4,1,2,-0.15,0.21,78,1.1
5,1,2,0.15,-0.19,278,0.97
6,1,2,0.18,0.23,72,0.8
7,2,2,0.23,0.18,342,1.1
8,2,2,-0.11,-0.25,104,1.03
9,2,2,0.17,-0.18,57,1.09
10,3,2,-0.07,0.11,115,0.96
11,3,2,0.22,0.17,131,1.02
12,3,2,0.22,0.17,74,0.81
13,4,2,0.13,-0.13,293,1.08
14,4,2,0.25,0.03,126,1.1
15,4,2,-0.03,-0.06,309,1.07
16,5,2,0.2,-0.05,13,0.84
17,5,2,-0.18,-0.2,249,0.99
18,5,2,0.13,-0.03,36,1
19,6,2,0.07,-0.12,261,0.81
20,6,2,-0.05,-0.11,112,0.97
21,6,2,0.19,0.25,101,1.1
22,7,2,-0.05,-0.21,346,1.07
23,7,2,0.14,-0.25,42,0.88
24,7,2,0.1,0.15,171,1.08
25,8,2,0.25,-0.05,333,0.82
26,8,2,-0.22,-0.25,300,0.85
27,8,2,-0.12,0.22,52,0.83
28,9,2,0.12,0.07,113,0.99
29,9,2,-0.04,-0.09,275,0.91
30,9,2,-0.25,0.03,47,1.02
31,10,2,0.2,0.2,229,0.8
32,10,2,0.16,-0.25,2,1
33,10,2,0.06,-0.17,188,1.07
34,11,2,0.21,0.22,103,0.75
35,11,2,0.03,-0.07,44,0.8
36,11,2,0,-0.07,191,1.07
37,12,2,-0.08,-0.25,234,1.05
38,12,2,0.25,0.22,182,1.03
39,12,2,-0.12,0.14,253,1.02
40,13,2,-0.09,-0.16,3,1.04
41,13,2,0.15,0.16,47,1.09
42,13,2,-0.22,0.02,333,0.76
43,14,2,-0.01,-0.06,140,1.01
44,14,2,-0.09,0.24,348,0.83
45,14,2,-0.19,-0.11,42,0.89
46,15,2,-0.01,-0.18,279,1.06
47,15,2,-0.09,0.03,81,0.77
48,15,2,-0.05,-0.21,310,1.08
49,16,2,-0.25,-0.03,251,0.95
50,16,2,0.19,0,255,0.87
51,16,2,-0.15,0.09,118,1.06
52,17,2,0.07,0.25,110,0.8
53,17,2,-0.2,0.21,148,1.02
54,17,2,0.02,0.23,248,0.93
55,18,2,-0.21,0.2,157,0.79
56,18,2,0.21,0.2,233,1.06
57,18,2,0.14,0.12,297,0.87
58,19,2,0.24,-0.24,168,1.05
59,19,2,0.09,-0.25,273,0.78
60,19,2,0.18,0.25,233,0.88
