mode,ratio,"""-1.0~1.0""",,"""0~360""","""0<scale"""
index,img_num,pos_x,pos_y,angle_deg,scale
1,0,0.07,0.22,0,0.79
2,0,0.17,-0.07,9,0.84
3,0,-0.2,0,18,0.79
4,0,0.07,0.13,27,0.99
5,0,0.05,0.21,36,0.83
6,0,0.08,0.08,45,0.76
7,0,0.02,0.16,54,0.86
8,0,-0.21,0.05,63,1.1
9,0,0.11,0.25,72,0.76
10,0,0.15,-0.07,81,1.07
11,0,0.18,-0.04,90,0.99
12,0,-0.11,0.23,99,1.06
13,0,-0.19,0.01,108,0.83
14,0,-0.09,-0.06,117,0.9
15,0,-0.08,-0.23,126,0.94
16,0,0.06,-0.24,135,0.82
17,0,0.13,0.07,144,1.08
18,0,0.11,-0.25,153,0.78
19,0,0.11,0.2,162,0.89
20,0,-0.16,-0.13,171,0.81
